Candidate,Party,First_pref_count,First_pref_pct,Quota,Elected_on_Count,Status,Seat,Gender,Election_date,Electorate,number_of_candidates,seats_available,constituency_name,constituency_name_as_Gaeilge,quota,Outgoing
Edward Broughan,Farmers,1830,0.045599999999999995,0.27,(3),Eliminated,,Male,1923-08-27,62937,9,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6694,
Patrick Gaffney,Non party/Independent,803,0.02,0.12,(2),Lost Deposit,,Male,1923-08-27,62937,9,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6694,TD
Patrick Baxter,Farmers,6264,0.1883,0.94,3,Made Quota,1,Male,1923-08-27,55104,10,4,Cavan,(Ulster),6654,
Seán Milroy,Cumann na nGaedheal,5109,0.1536,0.77,6,Made Quota,2,Male,1923-08-27,55104,10,4,Cavan,(Ulster),6654,TD
Paddy Smith,Republican,6112,0.1837,0.92,7,Elected,3,Male,1923-08-27,55104,10,4,Cavan,(Ulster),6654,
John Cole,Non party/Independent,5476,0.1646,0.82,7,Elected,4,Male,1923-08-27,55104,10,4,Cavan,(Ulster),6654,
Patsy Sheridan,Labour,3749,0.1127,0.56,(7),Not Elected,,Male,1923-08-27,55104,10,4,Cavan,(Ulster),6654,
Walter L Cole,Cumann na nGaedheal,2448,0.0736,0.37,(6),Eliminated,,Male,1923-08-27,55104,10,4,Cavan,(Ulster),6654,TD
Thomas McKenna,Cumann na nGaedheal,2010,0.0604,0.30,(5),Eliminated,,Male,1923-08-27,55104,10,4,Cavan,(Ulster),6654,
Patrick McQuaid,Non party/Independent,810,0.024300000000000002,0.12,(4),Lost Deposit,,Male,1923-08-27,55104,10,4,Cavan,(Ulster),6654,
Henry O'Reilly,Farmers,728,0.0219,0.11,(2),Lost Deposit,,Male,1923-08-27,55104,10,4,Cavan,(Ulster),6654,
Patrick Farrelly,Farmers,559,0.0168,0.08,(1),Lost Deposit,,Male,1923-08-27,55104,10,4,Cavan,(Ulster),6654,
Eamon de Valera,Republican,17762,0.45030000000000003,2.70,1,Made Quota,1,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,TD
Professor Eoin MacNeill,Cumann na nGaedheal,8196,0.2078,1.25,1,Made Quota,2,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,TD
Brian O'Higgins,Republican,114,0.0029,0.02,12,Made Quota,3,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,TD
Conor Hogan,Farmers,1914,0.048499999999999995,0.29,14,Made Quota,4,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
Patrick Hogan,Labour,2083,0.0528,0.32,14,Elected,5,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
Michael Hehir,Cumann na nGaedheal,1809,0.045899999999999996,0.28,(13),Eliminated,,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
Frank Barrett,Republican,482,0.012199999999999999,0.07,(11),Eliminated,,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
Batt Skehan,Farmers,1556,0.0394,0.24,(10),Eliminated,,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
Patrick MacNamara,Labour,2140,0.054299999999999994,0.33,(9),Eliminated,,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
Patrick Ryan,Farmers,1313,0.0333,0.20,(8),Eliminated,,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
James O'Regan,Cumann na nGaedheal,918,0.0233,0.14,(7),Eliminated,,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
Michael Comyn,Republican,219,0.005600000000000001,0.03,(6),Lost Deposit,,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
Patrick Kelly,Cumann na nGaedheal,588,0.0149,0.09,(5),Lost Deposit,,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
Thomas Honan,Republican,114,0.0029,0.02,(4),Lost Deposit,,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
Peter O'Loughlin,Cumann na nGaedheal,237,0.006,0.04,(3),Lost Deposit,,Male,1923-08-27,58495,15,5,Clare,An Clar,6575,
James Walsh,Cumann na nGaedheal,17151,0.4025,2.41,1,Made Quota,1,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,TD
Alfred O'Rahilly,Cumann na nGaedheal,2506,0.0588,0.35,2,Made Quota,2,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,
Richard Beamish,Non party/Independent,5822,0.1366,0.82,3,Made Quota,3,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,
Mary MacSwiney,Republican,6109,0.1434,0.86,10,Made Quota,4,Female,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,TD
Andrew O'Shaughnessy,Non party/Independent,766,0.018000000000000002,0.11,12,Elected,5,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,
Richard Anthony,Labour,2492,0.058499999999999996,0.35,(12),Not Elected,,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,
Robert Day,Labour,1431,0.0336,0.20,(11),Eliminated,,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,TD
Con Lucey,Republican,1870,0.043899999999999995,0.26,(9),Eliminated,,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,
Timothy Corcoran,Farmers,1616,0.0379,0.23,(8),Eliminated,,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,
William Kenneally,Labour,1358,0.0319,0.19,(7),Lost Deposit,,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,
Sir John Scott,Non party/Independent,786,0.0184,0.11,(6),Lost Deposit,,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,
Frederick Murray,Republican,461,0.0108,0.06,(5),Lost Deposit,,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,
Captain Jeremiah Collins,Non party/Independent,243,0.005699999999999999,0.03,(4),Lost Deposit,,Male,1923-08-27,64100,13,5,Cork Borough,(Munster),7102,
John Daly,Non party/Independent,6391,0.21059999999999998,1.26,1,Made Quota,1,Male,1923-08-27,56600,10,5,Cork East,Corcaigh Thoir,5059,
Michael Hennessy,Cumann na nGaedheal,6152,0.2027,1.22,1,Made Quota,2,Male,1923-08-27,56600,10,5,Cork East,Corcaigh Thoir,5059,TD
David Kent,Republican,5524,0.182,1.09,1,Made Quota,3,Male,1923-08-27,56600,10,5,Cork East,Corcaigh Thoir,5059,TD
John Dinneen,Farmers,3927,0.1294,0.78,6,Made Quota,4,Male,1923-08-27,56600,10,5,Cork East,Corcaigh Thoir,5059,TD
Thomas O'Mahony,Cumann na nGaedheal,2023,0.0667,0.40,8,Elected,5,Male,1923-08-27,56600,10,5,Cork East,Corcaigh Thoir,5059,
David O'Gorman,Farmers,1672,0.055099999999999996,0.33,(8),Not Elected,,Male,1923-08-27,56600,10,5,Cork East,Corcaigh Thoir,5059,
Seamus Fitzgerald,Republican,1428,0.047,0.28,(7),Eliminated,,Male,1923-08-27,56600,10,5,Cork East,Corcaigh Thoir,5059,
Daniel Hegarty,Cumann na nGaedheal,1516,0.0499,0.30,(6),Eliminated,,Male,1923-08-27,56600,10,5,Cork East,Corcaigh Thoir,5059,
William Fahy,Farmers,1539,0.0507,0.30,(5),Eliminated,,Male,1923-08-27,56600,10,5,Cork East,Corcaigh Thoir,5059,
Cornelius Molan,Republican,179,0.0059,0.04,(4),Lost Deposit,,Male,1923-08-27,56600,10,5,Cork East,Corcaigh Thoir,5059,
Daniel Corkery,Republican,6290,0.3071,1.23,1,Made Quota,1,Male,1923-08-27,37100,5,3,Cork North,(Munster),5121,TD
Thomas Nagle,Labour,3716,0.1814,0.73,3,Made Quota,2,Male,1923-08-27,37100,5,3,Cork North,(Munster),5121,TD
Daniel Vaughan,Farmers,4299,0.20989999999999998,0.84,3,Made Quota,3,Male,1923-08-27,37100,5,3,Cork North,(Munster),5121,TD
Edward Neville,Farmers,3385,0.1653,0.66,(3),Not Elected,,Male,1923-08-27,37100,5,3,Cork North,(Munster),5121,
John Lynch,Cumann na nGaedheal,2792,0.1363,0.55,(2),Eliminated,,Male,1923-08-27,37100,5,3,Cork North,(Munster),5121,
Cornelius Connolly,Cumann na nGaedheal,4430,0.149,0.89,6,Made Quota,1,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Seán Buckley,Republican,3237,0.10890000000000001,0.65,10,Made Quota,2,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Timothy O'Donovan,Farmers,2473,0.0832,0.50,10,Elected,3,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
John Prior,Cumann na nGaedheal,3257,0.1096,0.66,10,Elected,4,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Timothy Murphy,Labour,3517,0.1183,0.71,10,Elected,5,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Robert Kelly,Cumann na nGaedheal,2469,0.08310000000000001,0.50,(10),Not Elected,,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Maurice Donegan,Republican,1741,0.058600000000000006,0.35,(9),Eliminated,,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Michael Scully,Farmers,1460,0.049100000000000005,0.29,(8),Eliminated,,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Daniel O'Leary,Non party/Independent,1427,0.048,0.29,(7),Eliminated,,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Daniel McCarthy,Cumann na nGaedheal,1347,0.0453,0.27,(5),Eliminated,,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Joseph O'Mahony,Non party/Independent,1336,0.0449,0.27,(4),Eliminated,,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
John Lehane,Republican,1240,0.0417,0.25,(3),Eliminated,,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Daniel Minihane,Farmers,1074,0.0361,0.22,(2),Lost Deposit,,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
William Hales,Non party/Independent,510,0.0172,0.10,(1),Lost Deposit,,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
David Connor,Non party/Independent,205,0.0069,0.04,(1),Lost Deposit,,Male,1923-08-27,59500,15,5,Cork West,(Munster),4954,
Major James Myles,Non party/Independent,6954,0.1319,1.19,0,1,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Peter Ward,Cumann na nGaedheal,5513,0.10460000000000001,0.94,0,2,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Eugene Doherty,Cumann na nGaedheal,5261,0.0998,0.90,0,3,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
John White,Farmers,3673,0.0697,0.63,0,4,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Patrick McFadden,Cumann na nGaedheal,3492,0.0662,0.60,0,5,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Patrick McGoldrick,Cumann na nGaedheal,3743,0.071,0.64,0,6,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Peadar O'Donnell,Republican,3621,0.0687,0.62,0,7,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Joseph O'Doherty,Republican,3213,0.060899999999999996,0.55,0,8,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Denis Houston,Labour,2456,0.0466,0.42,0,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Brian Monaghan,Republican,3678,0.0698,0.63,16,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Samuel O'Flaherty,Republican,1647,0.031200000000000002,0.28,0,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Daniel McMenamin,Non party/Independent,927,0.0176,0.16,0,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
H J O'Kelly,Cumann na nGaedheal,1489,0.0282,0.25,0,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Henry McGowan,Non party/Independent,669,0.0127,0.11,0,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Edward Gallen,Republican,908,0.0172,0.15,0,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Andrew Lowry,Farmers,1127,0.021400000000000002,0.19,0,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Hugh Law,Farmers,1718,0.0326,0.29,0,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Michael McNelis,Non party/Independent,1432,0.027200000000000002,0.24,0,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Neil Faulkner,Farmers,1209,0.0229,0.21,0,,,Male,1923-08-27,96977,19,8,Donegal,(Ulster),5859,
Kevin O'Higgins,Cumann na nGaedheal,20821,0.363,3.27,0,1,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Desmond Fitzgerald,Cumann na nGaedheal,3615,0.063,0.57,0,2,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Michael Derham,Cumann na nGaedheal,1986,0.0346,0.31,0,3,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Kathleen Lynn,Republican,3064,0.053399999999999996,0.48,0,4,,Female,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Thomas Johnson,Labour,3911,0.0682,0.61,0,5,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
John Good,Non party/Independent,3238,0.0564,0.51,17,Made Quota,6,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Major Bryan Cooper,Non party/Independent,4128,0.07200000000000001,0.65,0,7,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Darrell Figgis,Non party/Independent,2923,0.051,0.46,0,8,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Conn Murphy,Republican,1905,0.0332,0.30,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
George Duffy,Non party/Independent,653,0.011399999999999999,0.10,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Michael O'Reilly,Cumann na nGaedheal,459,0.008,0.07,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Seán Healy,Cumann na nGaedheal,153,0.0027,0.02,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Batt O'Connor,Cumann na nGaedheal,658,0.0115,0.10,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Philip Ryan,Republican,466,0.008100000000000001,0.07,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
David Barry,Non party/Independent,2539,0.0443,0.40,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
John McCabe,Non party/Independent,815,0.014199999999999999,0.13,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Seán MacEntee,Republican,2350,0.040999999999999995,0.37,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
James Ashe,Non party/Independent,663,0.0116,0.10,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
John Rooney,Farmers,1530,0.026699999999999998,0.24,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
John Fitzsimons,Farmers,676,0.0118,0.11,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
Bernard Kavanagh,Labour,810,0.0141,0.13,0,,,Male,1923-08-27,97167,21,8,Dublin County,Baile Atha Cliath,6374,
General Richard Mulcahy,Cumann na nGaedheal,22205,0.39990000000000003,3.60,0,1,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Alfie Byrne,Non party/Independent,10518,0.1894,1.70,0,2,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Seán McGarry,Cumann na nGaedheal,1397,0.0252,0.23,0,3,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Margaret Collins O'Driscoll,Cumann na nGaedheal,1247,0.0225,0.20,0,4,,Female,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Francis Cahill,Cumann na nGaedheal,790,0.014199999999999999,0.13,0,5,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
William Hewat,Non party/Independent,2594,0.0467,0.42,0,6,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Seán T O'Kelly,Republican,4233,0.0762,0.69,14,Elected,7,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Ernie O'Malley,Republican,4602,0.08289999999999999,0.75,0,8,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
James Whelan,Cumann na nGaedheal,142,0.0026,0.02,0,,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
John Lawlor,Non party/Independent,573,0.0103,0.09,0,,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Edward O'Carroll,Labour,1653,0.0298,0.27,0,,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Seamus Hughes,Cumann na nGaedheal,365,0.0066,0.06,0,,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Kevin Kenny,Non party/Independent,371,0.0067,0.06,0,,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Patrick McIntyre,Cumann na nGaedheal,742,0.0134,0.12,0,,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Patrick Daly,Non party/Independent,2075,0.0374,0.34,0,,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Daithi O'Donoghue,Republican,330,0.0059,0.05,0,,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
James Clark,Non party/Independent,1047,0.0189,0.17,0,,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Henry O'Hanrahan,Republican,636,0.0115,0.10,0,,,Male,1923-08-27,89909,18,8,Dublin North,Baile Atha Cliath Thuaidh,6169,
Philip Cosgrave,Cumann na nGaedheal,16011,0.3468,2.77,0,1,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Countess Constance de Markievicz,Republican,5832,0.1263,1.01,0,2,,Female,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Daniel McCarthy,Cumann na nGaedheal,4565,0.0989,0.79,0,3,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Peadar Doyle,Cumann na nGaedheal,1409,0.0305,0.24,0,4,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Michael Hayes,Cumann na nGaedheal,2778,0.0602,0.48,0,5,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Myles Keogh,Non party/Independent,3010,0.0652,0.52,0,6,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Charles Murphy,Republican,1893,0.040999999999999995,0.33,19,Elected,7,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
William McCabe,Non party/Independent,793,0.0172,0.14,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Patrick Munden,Non party/Independent,265,0.005699999999999999,0.05,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Patrick Byrne,Non party/Independent,385,0.0083,0.07,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
James Shanks,Non party/Independent,484,0.0105,0.08,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Patrick Medlar,Non party/Independent,832,0.018000000000000002,0.14,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
William O'Brien,Labour,933,0.0202,0.16,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Michael O'Mullane,Republican,1315,0.0285,0.23,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Sir Andrew Beattie,Non party/Independent,2451,0.053099999999999994,0.42,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
George Lyons,Cumann na nGaedheal,715,0.0155,0.12,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
John Farrelly,Non party/Independent,809,0.0175,0.14,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Edward O'Kelly,Republican,709,0.0154,0.12,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Edward Tucker,Non party/Independent,391,0.0085,0.07,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
Bernard Shields,Non party/Independent,582,0.0126,0.10,0,,,Male,1923-08-27,78017,20,7,Dublin South,Baile Atha Cliath Theas,5771,
W T Cosgrave,Cumann na nGaedheal,13271,0.31420000000000003,1.89,0,1,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
Thomas Derrig,Fianna Fail,5408,0.1281,0.77,0,2,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
Edward Doyle,Labour,5060,0.1198,0.72,0,3,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
Richard Holohan,Farmers,3695,0.0875,0.52,0,4,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
Denis Gorey,Cumann na nGaedheal,954,0.0226,0.14,0,5,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
Arthur Kavanagh,Farmers,3276,0.0776,0.47,0,,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
Edward McDonald,Fianna Fail,1653,0.0391,0.23,0,,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
Edmund Wall,Labour,3096,0.0733,0.44,0,,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
John Nolan,Cumann na nGaedheal,761,0.018000000000000002,0.11,0,,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
John Magennis,National League,2096,0.0496,0.30,0,,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
Michael Shelly,Fianna Fail,2961,0.0701,0.42,0,,,Male,1927-06-09,not available,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7039,
John O'Hanlon,Non party/Independent,11152,0.3265,1.63,0,1,,Male,1927-06-09,not available,7,4,Cavan,(Ulster),6831,
John O'Reilly,Cumann na nGaedheal,5690,0.1666,0.83,0,2,,Male,1927-06-09,not available,7,4,Cavan,(Ulster),6831,
Paddy Smith,Fianna Fail,5396,0.158,0.79,0,3,,Male,1927-06-09,not available,7,4,Cavan,(Ulster),6831,
Patrick Baxter,Farmers,3313,0.09699999999999999,0.48,0,4,,Male,1927-06-09,not available,7,4,Cavan,(Ulster),6831,
Seán Milroy,Non party/Independent,614,0.018000000000000002,0.09,0,,,Male,1927-06-09,not available,7,4,Cavan,(Ulster),6831,
Michael Sheridan,Fianna Fail,2830,0.08289999999999999,0.41,0,,,Male,1927-06-09,not available,7,4,Cavan,(Ulster),6831,
John Cole,Non party/Independent,5158,0.151,0.76,0,,,Male,1927-06-09,not available,7,4,Cavan,(Ulster),6831,
Eamon de Valera,Fianna Fail,13029,0.33799999999999997,2.03,0,1,,Male,1927-06-09,not available,11,5,Clare,An Clar,6425,
Thomas Falvey,Farmers,5140,0.1333,0.80,0,2,,Male,1927-06-09,not available,11,5,Clare,An Clar,6425,
Patrick Kelly,Cumann na nGaedheal,3612,0.09369999999999999,0.56,0,3,,Male,1927-06-09,not available,11,5,Clare,An Clar,6425,
Patrick Houlihan,Fianna Fail,1500,0.038900000000000004,0.23,0,4,,Male,1927-06-09,not available,11,5,Clare,An Clar,6425,
